#twotheta, yobs, ycal, bkg, diff
1.114000e+001,4.100000e+001,4.397426e+001,3.188230e+001,-2.974264e+000
1.116000e+001,4.800000e+001,4.426852e+001,3.207576e+001,3.731480e+000
1.118000e+001,5.000000e+001,4.456684e+001,3.227176e+001,5.433163e+000
1.120000e+001,4.900000e+001,4.486922e+001,3.247029e+001,4.130780e+000
1.122000e+001,4.400000e+001,4.517568e+001,3.267130e+001,-1.175675e+000
1.124000e+001,4.600000e+001,4.548621e+001,3.287479e+001,5.137890e-001
1.126000e+001,4.400000e+001,4.580083e+001,3.308072e+001,-1.800835e+000
1.128000e+001,4.900000e+001,4.611955e+001,3.328907e+001,2.880445e+000
1.130000e+001,4.900000e+001,4.644238e+001,3.349980e+001,2.557619e+000
1.132000e+001,4.500000e+001,4.676932e+001,3.371290e+001,-1.769325e+000
1.134000e+001,4.200000e+001,4.710040e+001,3.392833e+001,-5.100397e+000
1.136000e+001,4.700000e+001,4.743561e+001,3.414608e+001,-4.356088e-001
1.138000e+001,4.500000e+001,4.777498e+001,3.436610e+001,-2.774975e+000
1.140000e+001,4.600000e+001,4.811851e+001,3.458839e+001,-2.118510e+000
1.142000e+001,5.000000e+001,4.846623e+001,3.481291e+001,1.533772e+000
1.144000e+001,4.100000e+001,4.881815e+001,3.503963e+001,-7.818146e+000
1.146000e+001,4.600000e+001,4.917428e+001,3.526854e+001,-3.174282e+000
1.148000e+001,4.900000e+001,4.953465e+001,3.549959e+001,-5.346531e-001
1.150000e+001,3.800000e+001,4.989928e+001,3.573278e+001,-1.189928e+001
1.152000e+001,3.900000e+001,5.026818e+001,3.596806e+001,-1.126818e+001
1.154000e+001,4.000000e+001,5.064139e+001,3.620541e+001,-1.064139e+001
1.156000e+001,4.700000e+001,5.101891e+001,3.644482e+001,-4.018910e+000
1.158000e+001,4.300000e+001,5.140078e+001,3.668624e+001,-8.400781e+000
1.160000e+001,5.700000e+001,5.178702e+001,3.692967e+001,5.212976e+000
1.162000e+001,5.400000e+001,5.217767e+001,3.717505e+001,1.822334e+000
1.164000e+001,4.800000e+001,5.257274e+001,3.742239e+001,-4.572737e+000
